rt;stimulus;response;trial_type;trial_index;time_elapsed;internal_node_id;value;success;timeout;failed_images;failed_audio;failed_video;slider_start;condition;response_format;block;target_truth_value;target_content_type;linguistic_prompt;target_image;images_in_order;correct
3892;<h3>Instructions for experiment</h3>             <p style='text-align:left'>In each question, you will see a set of 4 cards and a sentence describing the cards.</p>             <p style='text-align:left'> One of the cards will be highlighted with a red dashed line. Your task is to indicate whether             the sentence is true for <u>the highlighted card</u> only.<br>             We'll start with three practice questions.             <p style='text-align:left'>When you feel ready, click Continue below to start the practice section.</p>;0;html-button-response;0;3898;0.0-0.0;;;;;;;;;;;;;;;;
;;;call-function;1;3900;0.0-1.0;;;;;;;;;;;;;;;;
;;;preload;2;4384;0.0-2.0;;TRUE;FALSE;[];[];[];;;;;;;;;;
2025;;50;image-array-slider-response;3;6413;0.0-3.0-0.0;;;;;;;50;truth;slider;training;na;na;The triangle is blue.;pilot_scenes/training_stims/target-A.jpg;"[""pilot_scenes/training_stims/target-A.jpg"",""pilot_scenes/training_stims/filler-A3.jpg"",""pilot_scenes/training_stims/filler-A1.jpg"",""pilot_scenes/training_stims/filler-A2.jpg""]";FALSE
2342;;87;image-array-slider-response;4;8761;0.0-3.0-1.0-0.0-0.0;;;;;;;50;truth;slider;training;na;na;The triangle is blue.;pilot_scenes/training_stims/target-A.jpg;"[""pilot_scenes/training_stims/target-A.jpg"",""pilot_scenes/training_stims/filler-A3.jpg"",""pilot_scenes/training_stims/filler-A1.jpg"",""pilot_scenes/training_stims/filler-A2.jpg""]";TRUE
2618;"The triangle is blue.<p><b style=color:forestgreen>Correct! For the highlighted card, </br>the sentence is completely true.</p><img src=pilot_scenes/training_stims/target-A.jpg style='border:3px solid lightgray; width:200px'>";0;html-button-response;5;11382;0.0-3.0-2.0;;;;;;;;;;;;;;;;
1884;;50;image-array-slider-response;6;13268;0.0-4.0-0.0;;;;;;;50;truth;slider;training;na;na;The square that is next to the triangle is green.;pilot_scenes/training_stims/target-B.jpg;"[""pilot_scenes/training_stims/filler-B2.jpg"",""pilot_scenes/training_stims/filler-B1.jpg"",""pilot_scenes/training_stims/filler-B3.jpg"",""pilot_scenes/training_stims/target-B.jpg""]";TRUE
871;"The square that is next to the triangle is green.<p><b style=color:forestgreen>Correct! For the highlighted card, </br>the sentence is completely true.</p><img src=pilot_scenes/training_stims/target-B.jpg style='border:3px solid lightgray; width:200px'>";0;html-button-response;7;14143;0.0-4.0-2.0;;;;;;;;;;;;;;;;
7461;;0;image-array-slider-response;8;21607;0.0-5.0-0.0;;;;;;;50;truth;slider;training;na;na;The circle is blue and is right of the triangle.;pilot_scenes/training_stims/target-C.jpg;"[""pilot_scenes/training_stims/filler-C2.jpg"",""pilot_scenes/training_stims/filler-C3.jpg"",""pilot_scenes/training_stims/target-C.jpg"",""pilot_scenes/training_stims/filler-C1.jpg""]";TRUE
1976;"The circle is blue and is right of the triangle.<p><b style=color:forestgreen>Correct! For the highlighted card, </br>the sentence is completely false.</p><img src=pilot_scenes/training_stims/target-C.jpg style='border:3px solid lightgray; width:200px'>";0;html-button-response;9;23589;0.0-5.0-2.0;;;;;;;;;;;;;;;;
3823;<h3>Start of the experiment</h3>     <p style='text-align:left'>That is the practice part done. Next we will start the real experiment.<br>     In some of the following questions the response might not be obvious.<br>     Just respond with your first intuition and don't overthink it. </p>     <p style='text-align:left'>When you feel ready to start, click Continue below.</p>;0;html-button-response;10;27413;0.0-6.0;;;;;;;;;;;;;;;;
1810;;50;image-array-slider-response;11;29227;0.0-7.0;;;;;;;50;truth;slider;test;"[""tf""]";con;The square is orange and is left of the circle.;pilot_scenes/con-tf-1.jpg;"[""pilot_scenes/con-ft-1.jpg"",""pilot_scenes/con-tf-2.jpg"",""pilot_scenes/con-tt-1.jpg"",""pilot_scenes/con-tf-1.jpg""]";
837;;50;image-array-slider-response;12;30067;0.0-8.0;;;;;;;50;truth;slider;test;"[""ff""]";only;Only the square is green.;pilot_scenes/only-ff-2.jpg;"[""pilot_scenes/only-ff-2.jpg"",""pilot_scenes/only-ft-1.jpg"",""pilot_scenes/only-tf-2.jpg"",""pilot_scenes/only-tt-2.jpg""]";
1252;;87;image-array-slider-response;13;31323;0.0-9.0;;;;;;;50;truth;slider;test;"[""ff""]";def_ex;The blue circle is next to the triangle.;pilot_scenes/def_ex-ff-1.jpg;"[""pilot_scenes/def_ex-ff-1.jpg"",""pilot_scenes/def_ex-tf-2.jpg"",""pilot_scenes/def_ex-ft-1.jpg"",""pilot_scenes/def_ex-ft-1.jpg""]";
1170;;51;image-array-slider-response;14;32495;0.0-10.0;;;;;;;50;truth;slider;test;"[""ft""]";arc;The circle, which is blue, is right of the triangle.;pilot_scenes/arc-ft-2.jpg;"[""pilot_scenes/arc-tt-2.jpg"",""pilot_scenes/arc-ft-1.jpg"",""pilot_scenes/arc-tt-1.jpg"",""pilot_scenes/arc-ft-2.jpg""]";
1412;;12;image-array-slider-response;15;33911;0.0-11.0;;;;;;;50;truth;slider;test;"[""ft""]";con;The square is orange and is left of the circle.;pilot_scenes/con-ft-1.jpg;"[""pilot_scenes/con-ft-1.jpg"",""pilot_scenes/con-tf-1.jpg"",""pilot_scenes/con-tt-2.jpg"",""pilot_scenes/con-tf-1.jpg""]";
1912;;19;image-array-slider-response;16;35825;0.0-12.0;;;;;;;50;truth;slider;test;"[""ft""]";arc;The circle, which is blue, is right of the triangle.;pilot_scenes/arc-ft-1.jpg;"[""pilot_scenes/arc-tf-2.jpg"",""pilot_scenes/arc-ft-1.jpg"",""pilot_scenes/arc-tt-1.jpg"",""pilot_scenes/arc-ft-2.jpg""]";
1938;;98;image-array-slider-response;17;37767;0.0-13.0;;;;;;;50;truth;slider;test;"[""tt""]";def_ex;The blue circle is next to the triangle.;pilot_scenes/def_ex-tt-1.jpg;"[""pilot_scenes/def_ex-tf-1.jpg"",""pilot_scenes/def_ex-ft-1.jpg"",""pilot_scenes/def_ex-tt-1.jpg"",""pilot_scenes/def_ex-ff-1.jpg""]";
2811;;100;image-array-slider-response;18;40581;0.0-14.0;;;;;;;50;truth;slider;test;"[""tt""]";ana;The triangle is orange too.;pilot_scenes/ana-tt-2.jpg;"[""pilot_scenes/ana-tt-2.jpg"",""pilot_scenes/ana-ft-1.jpg"",""pilot_scenes/ana-tf-2.jpg"",""pilot_scenes/ana-ff-2.jpg""]";
1878;;0;image-array-slider-response;19;42464;0.0-15.0;;;;;;;50;truth;slider;test;"[""ff""]";ana;The triangle is orange too.;pilot_scenes/ana-ff-1.jpg;"[""pilot_scenes/ana-tt-1.jpg"",""pilot_scenes/ana-ff-1.jpg"",""pilot_scenes/ana-tt-1.jpg"",""pilot_scenes/ana-tf-2.jpg""]";
1554;;100;image-array-slider-response;20;44022;0.0-16.0;;;;;;;50;truth;slider;test;"[""tf""]";only;Only the square is green.;pilot_scenes/only-tf-2.jpg;"[""pilot_scenes/only-ff-2.jpg"",""pilot_scenes/only-tf-2.jpg"",""pilot_scenes/only-ff-2.jpg"",""pilot_scenes/only-ff-2.jpg""]";
2696;;0;image-array-slider-response;21;46721;0.0-17.0;;;;;;;50;truth;slider;test;"[""ft""]";def_un;The circle is left of the triangle.;pilot_scenes/def_un-ft-2.jpg;"[""pilot_scenes/def_un-ft-1.jpg"",""pilot_scenes/def_un-tf-1.jpg"",""pilot_scenes/def_un-ft-2.jpg"",""pilot_scenes/def_un-tf-2.jpg""]";
2025;;20;image-array-slider-response;22;48749;0.0-18.0;;;;;;;50;truth;slider;test;"[""ff""]";def_un;The circle is left of the triangle.;pilot_scenes/def_un-ff-1.jpg;"[""pilot_scenes/def_un-ft-2.jpg"",""pilot_scenes/def_un-ff-1.jpg"",""pilot_scenes/def_un-ff-2.jpg"",""pilot_scenes/def_un-ff-2.jpg""]";
889;Im the next trial!;0;html-button-response;23;49641;0.0-19.0;;;;;;;;;;;;;;;;
1012;;"{""feedback"":""""}";survey-text;24;50657;0.0-20.0;;;;;;;;;;;;;;;;
20231;;"{""first_lang"":""norsk"",""bilingual"":""on"",""other_lang"":"""",""colourblind"":""on""}";survey-html-form;25;70890;0.0-21.0;;;;;;;;;;;;;;;;
3750;<h3>Finished!</h3>     <p style='text-align:left'>Thank you for taking part!</p>     <p style='text-align:left'>Click Finish to complete the experiment and return to Prolific.</p>;0;html-button-response;26;74646;0.0-22.0;;;;;;;;;;;;;;;;